Season,Lg,Tm,Position,Value
2005-06,NBA,3rd,F,Shawn Marion
2005-06,NBA,3rd,G,Gilbert Arenas
2005-06,NBA,3rd,G,Allen Iverson
2004-05,NBA,1st,C,Shaquille O'Neal
2004-05,NBA,1st,F,Tim Duncan
2004-05,NBA,1st,F,Dirk Nowitzki
2004-05,NBA,1st,G,Allen Iverson
2004-05,NBA,1st,G,Steve Nash
2004-05,NBA,2nd,C,Amar'e Stoudemire
2004-05,NBA,2nd,F,Kevin Garnett
2004-05,NBA,2nd,F,LeBron James
2004-05,NBA,2nd,G,Ray Allen
2004-05,NBA,2nd,G,Dwyane Wade
2004-05,NBA,3rd,C,Ben Wallace
2004-05,NBA,3rd,F,Shawn Marion
2004-05,NBA,3rd,F,Tracy McGrady
2004-05,NBA,3rd,G,Gilbert Arenas
2004-05,NBA,3rd,G,Kobe Bryant
2003-04,NBA,1st,C,Shaquille O'Neal
2003-04,NBA,1st,F,Tim Duncan
2003-04,NBA,1st,F,Kevin Garnett
2003-04,NBA,1st,G,Kobe Bryant
2003-04,NBA,1st,G,Jason Kidd
2003-04,NBA,2nd,C,Ben Wallace
2003-04,NBA,2nd,F,Jermaine O'Neal
2003-04,NBA,2nd,F,Peja Stojakovic
2003-04,NBA,2nd,G,Sam Cassell
2003-04,NBA,2nd,G,Tracy McGrady
2003-04,NBA,3rd,C,Yao Ming
2003-04,NBA,3rd,F,Metta World Peace
2003-04,NBA,3rd,F,Dirk Nowitzki
2003-04,NBA,3rd,G,Baron Davis
2003-04,NBA,3rd,G,Michael Redd
2002-03,NBA,1st,C,Shaquille O'Neal
2002-03,NBA,1st,F,Tim Duncan
2002-03,NBA,1st,F,Kevin Garnett
2002-03,NBA,1st,G,Kobe Bryant
2002-03,NBA,1st,G,Tracy McGrady
2002-03,NBA,2nd,C,Ben Wallace
2002-03,NBA,2nd,F,Dirk Nowitzki
2002-03,NBA,2nd,F,Chris Webber
2002-03,NBA,2nd,G,Allen Iverson
2002-03,NBA,2nd,G,Jason Kidd
2002-03,NBA,3rd,C,Jermaine O'Neal
2002-03,NBA,3rd,F,Jamal Mashburn
2002-03,NBA,3rd,F,Paul Pierce
2002-03,NBA,3rd,G,Stephon Marbury
2002-03,NBA,3rd,G,Steve Nash
2001-02,NBA,1st,C,Shaquille O'Neal
2001-02,NBA,1st,F,Tim Duncan
2001-02,NBA,1st,F,Tracy McGrady
2001-02,NBA,1st,G,Kobe Bryant
2001-02,NBA,1st,G,Jason Kidd
2001-02,NBA,2nd,C,Dirk Nowitzki
2001-02,NBA,2nd,F,Kevin Garnett
2001-02,NBA,2nd,F,Chris Webber
2001-02,NBA,2nd,G,Allen Iverson
2001-02,NBA,2nd,G,Gary Payton
2001-02,NBA,3rd,C,Dikembe Mutombo
2001-02,NBA,3rd,F,Jermaine O'Neal
2001-02,NBA,3rd,F,Ben Wallace
2001-02,NBA,3rd,G,Steve Nash
2001-02,NBA,3rd,G,Paul Pierce
2000-01,NBA,1st,C,Shaquille O'Neal
2000-01,NBA,1st,F,Tim Duncan
2000-01,NBA,1st,F,Chris Webber
2000-01,NBA,1st,G,Allen Iverson
2000-01,NBA,1st,G,Jason Kidd
2000-01,NBA,2nd,C,Dikembe Mutombo
2000-01,NBA,2nd,F,Vince Carter
2000-01,NBA,2nd,F,Kevin Garnett
2000-01,NBA,2nd,G,Kobe Bryant
2000-01,NBA,2nd,G,Tracy McGrady
2000-01,NBA,3rd,C,David Robinson
2000-01,NBA,3rd,F,Karl Malone
2000-01,NBA,3rd,F,Dirk Nowitzki
2000-01,NBA,3rd,G,Ray Allen
2000-01,NBA,3rd,G,Gary Payton
1999-00,NBA,1st,C,Shaquille O'Neal
1999-00,NBA,1st,F,Tim Duncan
1999-00,NBA,1st,F,Kevin Garnett
1999-00,NBA,1st,G,Jason Kidd
1999-00,NBA,1st,G,Gary Payton
1999-00,NBA,2nd,C,Alonzo Mourning
1999-00,NBA,2nd,F,Grant Hill
1999-00,NBA,2nd,F,Karl Malone
1999-00,NBA,2nd,G,Kobe Bryant
1999-00,NBA,2nd,G,Allen Iverson
1999-00,NBA,3rd,C,David Robinson
1999-00,NBA,3rd,F,Vince Carter
1999-00,NBA,3rd,F,Chris Webber
1999-00,NBA,3rd,G,Eddie Jones
1999-00,NBA,3rd,G,Stephon Marbury
1998-99,NBA,1st,C,Alonzo Mourning
1998-99,NBA,1st,F,Tim Duncan
1998-99,NBA,1st,F,Karl Malone
1998-99,NBA,1st,G,Allen Iverson
1998-99,NBA,1st,G,Jason Kidd
1998-99,NBA,2nd,C,Shaquille O'Neal
1998-99,NBA,2nd,F,Grant Hill
1998-99,NBA,2nd,F,Chris Webber
1998-99,NBA,2nd,G,Tim Hardaway
1998-99,NBA,2nd,G,Gary Payton
1998-99,NBA,3rd,C,Hakeem Olajuwon
1998-99,NBA,3rd,F,Kevin Garnett
1998-99,NBA,3rd,F,Antonio McDyess
1998-99,NBA,3rd,G,Kobe Bryant
1998-99,NBA,3rd,G,John Stockton
1997-98,NBA,1st,C,Shaquille O'Neal
1997-98,NBA,1st,F,Tim Duncan
1997-98,NBA,1st,F,Karl Malone
1997-98,NBA,1st,G,Michael Jordan
1997-98,NBA,1st,G,Gary Payton
1997-98,NBA,2nd,C,David Robinson
1997-98,NBA,2nd,F,Vin Baker
1997-98,NBA,2nd,F,Grant Hill
1997-98,NBA,2nd,G,Tim Hardaway
1997-98,NBA,2nd,G,Rod Strickland
1997-98,NBA,3rd,C,Dikembe Mutombo
1997-98,NBA,3rd,F,Scottie Pippen
1997-98,NBA,3rd,F,Glen Rice
1997-98,NBA,3rd,G,Reggie Miller
1997-98,NBA,3rd,G,Mitch Richmond
1996-97,NBA,1st,C,Hakeem Olajuwon
1996-97,NBA,1st,F,Grant Hill
1996-97,NBA,1st,F,Karl Malone
1996-97,NBA,1st,G,Tim Hardaway
1996-97,NBA,1st,G,Michael Jordan
1996-97,NBA,2nd,C,Patrick Ewing
1996-97,NBA,2nd,F,Scottie Pippen
1996-97,NBA,2nd,F,Glen Rice
1996-97,NBA,2nd,G,Gary Payton
1996-97,NBA,2nd,G,Mitch Richmond
1996-97,NBA,3rd,C,Shaquille O'Neal
1996-97,NBA,3rd,F,Vin Baker
1996-97,NBA,3rd,F,Anthony Mason
1996-97,NBA,3rd,G,Anfernee Hardaway
1996-97,NBA,3rd,G,John Stockton
1995-96,NBA,1st,C,David Robinson
1995-96,NBA,1st,F,Karl Malone
1995-96,NBA,1st,F,Scottie Pippen
1995-96,NBA,1st,G,Anfernee Hardaway
1995-96,NBA,1st,G,Michael Jordan
1995-96,NBA,2nd,C,Hakeem Olajuwon
1995-96,NBA,2nd,F,Grant Hill
1995-96,NBA,2nd,F,Shawn Kemp
1995-96,NBA,2nd,G,Gary Payton
1995-96,NBA,2nd,G,John Stockton
1995-96,NBA,3rd,C,Shaquille O'Neal
1995-96,NBA,3rd,F,Charles Barkley
1995-96,NBA,3rd,F,Juwan Howard
1995-96,NBA,3rd,G,Reggie Miller
1995-96,NBA,3rd,G,Mitch Richmond
1994-95,NBA,1st,C,David Robinson
1994-95,NBA,1st,F,Karl Malone
1994-95,NBA,1st,F,Scottie Pippen
1994-95,NBA,1st,G,Anfernee Hardaway
1994-95,NBA,1st,G,John Stockton
1994-95,NBA,2nd,C,Shaquille O'Neal
1994-95,NBA,2nd,F,Charles Barkley
1994-95,NBA,2nd,F,Shawn Kemp
1994-95,NBA,2nd,G,Gary Payton
1994-95,NBA,2nd,G,Mitch Richmond
1994-95,NBA,3rd,C,Hakeem Olajuwon
1994-95,NBA,3rd,F,Dennis Rodman
1994-95,NBA,3rd,F,Detlef Schrempf
1994-95,NBA,3rd,G,Clyde Drexler
1994-95,NBA,3rd,G,Reggie Miller
1993-94,NBA,1st,C,Hakeem Olajuwon
1993-94,NBA,1st,F,Karl Malone
1993-94,NBA,1st,F,Scottie Pippen
1993-94,NBA,1st,G,Latrell Sprewell
1993-94,NBA,1st,G,John Stockton
1993-94,NBA,2nd,C,David Robinson
1993-94,NBA,2nd,F,Charles Barkley
1993-94,NBA,2nd,F,Shawn Kemp
1993-94,NBA,2nd,G,Kevin Johnson
1993-94,NBA,2nd,G,Mitch Richmond
1993-94,NBA,3rd,C,Shaquille O'Neal
1993-94,NBA,3rd,F,Derrick Coleman
1993-94,NBA,3rd,F,Dominique Wilkins
1993-94,NBA,3rd,G,Gary Payton
1993-94,NBA,3rd,G,Mark Price
1992-93,NBA,1st,C,Hakeem Olajuwon
1992-93,NBA,1st,F,Charles Barkley
1992-93,NBA,1st,F,Karl Malone
1992-93,NBA,1st,G,Michael Jordan
1992-93,NBA,1st,G,Mark Price
1992-93,NBA,2nd,C,Patrick Ewing
1992-93,NBA,2nd,F,Larry Johnson
1992-93,NBA,2nd,F,Dominique Wilkins
1992-93,NBA,2nd,G,Joe Dumars
1992-93,NBA,2nd,G,John Stockton
1992-93,NBA,3rd,C,David Robinson
1992-93,NBA,3rd,F,Derrick Coleman
1992-93,NBA,3rd,F,Scottie Pippen
1992-93,NBA,3rd,G,Tim Hardaway
1992-93,NBA,3rd,G,Drazen Petrovic
1991-92,NBA,1st,C,David Robinson
1991-92,NBA,1st,F,Karl Malone
1991-92,NBA,1st,F,Chris Mullin
1991-92,NBA,1st,G,Clyde Drexler
1991-92,NBA,1st,G,Michael Jordan
1991-92,NBA,2nd,C,Patrick Ewing
1991-92,NBA,2nd,F,Charles Barkley
1991-92,NBA,2nd,F,Scottie Pippen
1991-92,NBA,2nd,G,Tim Hardaway
1991-92,NBA,2nd,G,John Stockton
1991-92,NBA,3rd,C,Brad Daugherty
1991-92,NBA,3rd,F,Dennis Rodman
1991-92,NBA,3rd,F,Kevin Willis
1991-92,NBA,3rd,G,Kevin Johnson
1991-92,NBA,3rd,G,Mark Price
1990-91,NBA,1st,C,David Robinson
1990-91,NBA,1st,F,Charles Barkley
1990-91,NBA,1st,F,Karl Malone
1990-91,NBA,1st,G,Magic Johnson
1990-91,NBA,1st,G,Michael Jordan
1990-91,NBA,2nd,C,Patrick Ewing
1990-91,NBA,2nd,F,Chris Mullin
1990-91,NBA,2nd,F,Dominique Wilkins
1990-91,NBA,2nd,G,Clyde Drexler
1990-91,NBA,2nd,G,Kevin Johnson
1990-91,NBA,3rd,C,Hakeem Olajuwon
1990-91,NBA,3rd,F,Bernard King
1990-91,NBA,3rd,F,James Worthy
1990-91,NBA,3rd,G,Joe Dumars
1990-91,NBA,3rd,G,John Stockton
1989-90,NBA,1st,C,Patrick Ewing
1989-90,NBA,1st,F,Charles Barkley
1989-90,NBA,1st,F,Karl Malone
1989-90,NBA,1st,G,Magic Johnson
1989-90,NBA,1st,G,Michael Jordan
1989-90,NBA,2nd,C,Hakeem Olajuwon
1989-90,NBA,2nd,F,Larry Bird
1989-90,NBA,2nd,F,Tom Chambers
1989-90,NBA,2nd,G,Kevin Johnson
1989-90,NBA,2nd,G,John Stockton
1989-90,NBA,3rd,C,David Robinson
1989-90,NBA,3rd,F,Chris Mullin
1989-90,NBA,3rd,F,James Worthy
1989-90,NBA,3rd,G,Clyde Drexler
1989-90,NBA,3rd,G,Joe Dumars
1988-89,NBA,1st,C,Hakeem Olajuwon
1988-89,NBA,1st,F,Charles Barkley
1988-89,NBA,1st,F,Karl Malone
1988-89,NBA,1st,G,Magic Johnson
1988-89,NBA,1st,G,Michael Jordan
1988-89,NBA,2nd,C,Patrick Ewing
1988-89,NBA,2nd,F,Tom Chambers
1988-89,NBA,2nd,F,Chris Mullin
1988-89,NBA,2nd,G,Kevin Johnson
1988-89,NBA,2nd,G,John Stockton
1988-89,NBA,3rd,C,Robert Parish
1988-89,NBA,3rd,F,Terry Cummings
1988-89,NBA,3rd,F,Dominique Wilkins
1988-89,NBA,3rd,G,Dale Ellis
1988-89,NBA,3rd,G,Mark Price
1987-88,NBA,1st,C,Hakeem Olajuwon
1987-88,NBA,1st,F,Charles Barkley
1987-88,NBA,1st,F,Larry Bird
1987-88,NBA,1st,G,Magic Johnson
1987-88,NBA,1st,G,Michael Jordan
1987-88,NBA,2nd,C,Patrick Ewing
1987-88,NBA,2nd,F,Karl Malone
1987-88,NBA,2nd,F,Dominique Wilkins
1987-88,NBA,2nd,G,Clyde Drexler
1987-88,NBA,2nd,G,John Stockton
1986-87,NBA,1st,C,Hakeem Olajuwon
1986-87,NBA,1st,F,Larry Bird
1986-87,NBA,1st,F,Kevin McHale
1986-87,NBA,1st,G,Magic Johnson
1986-87,NBA,1st,G,Michael Jordan
1986-87,NBA,2nd,C,Moses Malone
1986-87,NBA,2nd,F,Charles Barkley
1986-87,NBA,2nd,F,Dominique Wilkins
1986-87,NBA,2nd,G,Fat Lever
1986-87,NBA,2nd,G,Isiah Thomas
1985-86,NBA,1st,C,Kareem Abdul-Jabbar
1985-86,NBA,1st,F,Larry Bird
1985-86,NBA,1st,F,Dominique Wilkins
1985-86,NBA,1st,G,Magic Johnson
1985-86,NBA,1st,G,Isiah Thomas
1985-86,NBA,2nd,C,Hakeem Olajuwon
1985-86,NBA,2nd,F,Charles Barkley
1985-86,NBA,2nd,F,Alex English
1985-86,NBA,2nd,G,Sidney Moncrief
1985-86,NBA,2nd,G,Alvin Robertson
1984-85,NBA,1st,C,Moses Malone
1984-85,NBA,1st,F,Larry Bird
1984-85,NBA,1st,F,Bernard King
1984-85,NBA,1st,G,Magic Johnson
1984-85,NBA,1st,G,Isiah Thomas
1984-85,NBA,2nd,C,Kareem Abdul-Jabbar
1984-85,NBA,2nd,F,Terry Cummings
1984-85,NBA,2nd,F,Ralph Sampson
1984-85,NBA,2nd,G,Michael Jordan
1984-85,NBA,2nd,G,Sidney Moncrief
1983-84,NBA,1st,C,Kareem Abdul-Jabbar
1983-84,NBA,1st,F,Larry Bird
1983-84,NBA,1st,F,Bernard King
1983-84,NBA,1st,G,Magic Johnson
1983-84,NBA,1st,G,Isiah Thomas
1983-84,NBA,2nd,C,Moses Malone
1983-84,NBA,2nd,F,Adrian Dantley
1983-84,NBA,2nd,F,Julius Erving
1983-84,NBA,2nd,G,Sidney Moncrief
1983-84,NBA,2nd,G,Jim Paxson
1982-83,NBA,1st,C,Moses Malone
1982-83,NBA,1st,F,Larry Bird
1982-83,NBA,1st,F,Julius Erving
1982-83,NBA,1st,G,Magic Johnson
1982-83,NBA,1st,G,Sidney Moncrief
1982-83,NBA,2nd,C,Kareem Abdul-Jabbar
1982-83,NBA,2nd,F,Alex English
1982-83,NBA,2nd,F,Buck Williams
1982-83,NBA,2nd,G,George Gervin
1982-83,NBA,2nd,G,Isiah Thomas
1981-82,NBA,1st,C,Moses Malone
1981-82,NBA,1st,F,Larry Bird
1981-82,NBA,1st,F,Julius Erving
1981-82,NBA,1st,G,George Gervin
1981-82,NBA,1st,G,Gus Williams
1981-82,NBA,2nd,C,Robert Parish
1981-82,NBA,2nd,F,Alex English
1981-82,NBA,2nd,F,Bernard King
1981-82,NBA,2nd,G,Magic Johnson
1981-82,NBA,2nd,G,Sidney Moncrief
1980-81,NBA,1st,C,Kareem Abdul-Jabbar
1980-81,NBA,1st,F,Larry Bird
1980-81,NBA,1st,F,Julius Erving
1980-81,NBA,1st,G,George Gervin
1980-81,NBA,1st,G,Dennis Johnson
1980-81,NBA,2nd,C,Moses Malone
1980-81,NBA,2nd,F,Adrian Dantley
1980-81,NBA,2nd,F,Marques Johnson
1980-81,NBA,2nd,G,Tiny Archibald
1980-81,NBA,2nd,G,Otis Birdsong
1979-80,NBA,1st,C,Kareem Abdul-Jabbar
1979-80,NBA,1st,F,Larry Bird
1979-80,NBA,1st,F,Julius Erving
1979-80,NBA,1st,G,George Gervin
1979-80,NBA,1st,G,Paul Westphal
1979-80,NBA,2nd,C,Moses Malone
1979-80,NBA,2nd,F,Marques Johnson
1979-80,NBA,2nd,F,Dan Roundfield
1979-80,NBA,2nd,G,Dennis Johnson
1979-80,NBA,2nd,G,Gus Williams
1978-79,NBA,1st,C,Moses Malone
1978-79,NBA,1st,F,Elvin Hayes
1978-79,NBA,1st,F,Marques Johnson
1978-79,NBA,1st,G,George Gervin
1978-79,NBA,1st,G,Paul Westphal
1978-79,NBA,2nd,C,Kareem Abdul-Jabbar
1978-79,NBA,2nd,F,Bob Dandridge
1978-79,NBA,2nd,F,Walter Davis
1978-79,NBA,2nd,G,Phil Ford
1978-79,NBA,2nd,G,World B. Free
1977-78,NBA,1st,C,Bill Walton
1977-78,NBA,1st,F,Julius Erving
1977-78,NBA,1st,F,Truck Robinson
1977-78,NBA,1st,G,George Gervin
1977-78,NBA,1st,G,David Thompson
1977-78,NBA,2nd,C,Kareem Abdul-Jabbar
1977-78,NBA,2nd,F,Walter Davis
1977-78,NBA,2nd,F,Maurice Lucas
1977-78,NBA,2nd,G,Pete Maravich
1977-78,NBA,2nd,G,Paul Westphal
